DEPARTAMENTO,PROVINCIA,AREA,POBLACION
Partido de General Lavalle,Bandera de Provincia de Buenos Aires Buenos Aires,2649,3700
Partido de Maipú,Bandera de Provincia de Buenos Aires Buenos Aires,2640,10 188
Departamento Punilla,Bandera de Provincia de Córdoba (Argentina) Córdoba,2592,178 401
Departamento Colón,Bandera de Provincia de Córdoba (Argentina) Córdoba,2588,225 151
Departamento Guasayán,Bandera de Provincia de Santiago del Estero Santiago del Estero,2588,7602
Departamento General Juan Facundo Quiroga*,Bandera de Provincia de La Rioja (Argentina) La Rioja,2585,4108
Departamento 12 de Octubre,Bandera de Provincia del Chaco Chaco,2576,22 225
Departamento Chapaleufú,Bandera de la provincia de La Pampa La Pampa,2570,11 620
Departamento Bermejo,Bandera de Provincia del Chaco Chaco,2562,24 329
Departamento Quemú Quemú,Bandera de la provincia de La Pampa La Pampa,2557,8663
Departamento General Belgrano,Bandera de Provincia de La Rioja (Argentina) La Rioja,2556,7370
Departamento Maracó,Bandera de la provincia de La Pampa La Pampa,2555,59 024
Departamento Catriló,Bandera de la provincia de La Pampa La Pampa,2555,7293
Departamento Capital,Bandera de la provincia de La Pampa La Pampa,2525,105 312
Partido de General Pinto,Bandera de Provincia de Buenos Aires Buenos Aires,2540,11 261
Partido de Carlos Casares,Bandera de Provincia de Buenos Aires Buenos Aires,2520,22 237
Departamento Tupungato,Bandera de Provincia de Mendoza Mendoza,2485,32 865
Departamento Junín,Bandera de Provincia de San Luis San Luis,2476,28 808
Departamento Realicó,Bandera de la provincia de La Pampa La Pampa,2450,16 227
Departamento Ancasti,Bandera de Provincia de Catamarca Catamarca,2412,2917
Departamento Belgrano,Bandera de Provincia de Santa Fe Santa Fe,2386,44 048
Departamento San Luis del Palmar,Bandera de Provincia de Corrientes Corrientes,2385,17 812
Departamento General Güemes,Bandera de Provincia de Salta Salta,2365,47 226
Departamento 25 de Mayo,Bandera de Provincia del Chaco Chaco,2358,29 315
Departamento Zonda,Bandera de Provincia de San Juan San Juan,2348,4863
Partido de General Guido,Bandera de Provincia de Buenos Aires Buenos Aires,2340,2816
Departamento El Alto,Bandera de Provincia de Catamarca Catamarca,2327,3570
Partido de Bahía Blanca,Bandera de Provincia de Buenos Aires Buenos Aires,2300,301 572
Departamento Monte Caseros,Bandera de Provincia de Corrientes Corrientes,2287,35 922
Departamento Presidencia de la Plaza,Bandera de Provincia del Chaco Chaco,2284,12 419
Partido de Chacabuco,Bandera de Provincia de Buenos Aires Buenos Aires,2278,48 703
Partido de Junín,Bandera de Provincia de Buenos Aires Buenos Aires,2263,90 305
Departamento Atamisqui,Bandera de Provincia de Santiago del Estero Santiago del Estero,2259,10 923
Departamento San Roque,Bandera de Provincia de Corrientes Corrientes,2243,18 223
Partido de Bragado,Bandera de Provincia de Buenos Aires Buenos Aires,2212,41 336
Departamento Fray Justo Santa María de Oro,Bandera de Provincia del Chaco Chaco,2205,11 799
Departamento La Viña,Bandera de Provincia de Salta Salta,2152,7435
Departamento San Pedro,Bandera de Provincia de Jujuy Jujuy,2150,75 037
Partido de General Viamonte,Bandera de Provincia de Buenos Aires Buenos Aires,2150,18 078
Departamento Rivadavia,Bandera de Provincia de Mendoza Mendoza,2141,56 269
Departamento San Lorenzo,Bandera de Provincia del Chaco Chaco,2135,14 722
Departamento General Ocampo*,Bandera de Provincia de La Rioja (Argentina) La Rioja,2135,7145
Departamento Río Hondo,Bandera de Provincia de Santiago del Estero Santiago del Estero,2124,54 867
Departamento Capital,Bandera de Provincia de Santiago del Estero Santiago del Estero,2116,267 125
Partido de Castelli,Bandera de Provincia de Buenos Aires Buenos Aires,2100,8205
Departamento San Martín,Bandera de Provincia de Santiago del Estero Santiago del Estero,2097,9831
Departamento 9 de Julio,Bandera de Provincia del Chaco Chaco,2097,30 153
Partido de Chivilcoy,Bandera de Provincia de Buenos Aires Buenos Aires,2075,64 185
Partido de Rojas,Bandera de Provincia de Buenos Aires Buenos Aires,2050,23 432
